"","t_name","year","bird_id","band","sex","max_dist","total_dist","start_date","end_date","duration","bathyAvg","bathyMax","bathyVar","A","max_lat","max_long","max_gmt","Tout","Tback","Yno.trips","Tno.trips","no.years","X","meandir","bird.id","no.previous.attempts","earliest.attempt","attempt.status","year_banded","status_banded","age_chicks","home_lat","home_long","max_bearing","hemisphere"
"1","ID01_2013 1","2013","ID01_2013","13190257","M",361247.0644,2488463.31973457,2013-09-26 23:17:25,2013-10-03 04:50:39,6.23141203703704,-345.186440677966,-1737,134122.909770688,0.145168731857591,-38.5996,141.1379,2013-09-29 13:03:22,2.57357638888889,3.65783564814815,1,1,1,2,107.358228042665,9254,5,2003,"S",1997,"chick",16,-40.3780953,144.6557384,-58.004877730588,"west"
"2","ID02_2013 2","2013","ID02_2013","UB","F",189002.9762,2913139.11208689,2013-09-24 22:53:44,2013-10-04 03:00:45,9.17153935185185,-67.9522267206478,-104,358.150876318086,0.0648794887328959,-39.2032,143.0605,2013-09-26 20:20:40,1.8937037037037,7.27783564814815,1,NA,NA,2,107.358228042665,NA,NA,NA,NA,NA,NA,NA,-40.3780953,144.6557384,-46.8403438641934,"west"
"3","ID03_2013 3","2013","ID03_2013","13127082","F",344994.594,2352813.29115147,2013-09-26 07:13:26,2013-10-05 03:45:11,8.85538194444444,-52.2539556962025,-435,1323.583119732,0.14663067201187,-38.325558,141.652252,2013-10-01 21:47:11,5.60677083333333,3.24861111111111,1,1,1,2,107.358228042665,644,5,1995,"F",1988,"chick",25,-40.3780953,144.6557384,-49.6057497078731,"west"
"4","ID03_2016 302","2016","ID03_2016","13194831","U",140790.8,1484745.77485708,2016-10-09 23:11:55,2016-10-14 21:58:48,4.94922453703704,-386.292151162791,-1821,300505.319181392,0.0948248531056115,-40.04258,143.0589,2016-10-11 02:44:16,1.14746527777778,3.80175925925926,1,1,1,4,118.056362097962,13819,6,2005,"F",1999,"chick",17,-40.3780953,144.6557384,-75.1905839989835,"west"
"5","ID03_2017 119","2017","ID03_2017","28010654","U",172831.8,1097181.67638422,2017-10-03 00:45:54,2017-10-05 23:30:40,2.94775462962963,-316.649509803922,-2097,304962.577100496,0.157523410862612,-39.97147,142.6947,2017-10-05 10:58:31,2.42542824074074,0.522326388888889,4,4,1,5,146.149342815149,32205,14,1995,"F",1987,"chick",30,-40.3780953,144.6557384,-75.5078441382326,"west"
"6","ID03_2017 120","2017","ID03_2017","28010654","U",216194.8,1382271.71002895,2017-10-06 01:33:11,2017-10-10 21:34:38,4.83434027777778,-77.4672754946727,-203,717.234064669414,0.156405429143502,-38.84203,143.113,2017-10-07 17:31:03,1.66518518518519,3.16915509259259,4,4,1,5,146.149342815149,32205,14,1995,"F",1987,"chick",30,-40.3780953,144.6557384,-38.3359428922906,"west"
"7","ID03_2017 121","2017","ID03_2017","28010654","U",197705.7,2387336.73060785,2017-10-19 01:35:14,2017-10-30 19:08:22,11.7313425925926,-84.6927822331894,-681,1007.73889231613,0.0828143334223579,-39.01895,143.1698,2017-10-23 01:07:40,3.98085648148148,7.75048611111111,4,4,1,5,146.149342815149,32205,14,1995,"F",1987,"chick",30,-40.3780953,144.6557384,-40.6596160458023,"west"
"8","ID03_2017 122","2017","ID03_2017","28010654","U",227779.8,1817021.64371436,2017-11-05 23:07:25,2017-11-14 08:22:25,8.38541666666667,-106.859416445623,-1086,8497.72269665031,0.12535888099515,-39.16165,142.5149,2017-11-06 18:22:38,0.802233796296296,7.58318287037037,4,4,1,5,146.149342815149,32205,14,1995,"F",1987,"chick",30,-40.3780953,144.6557384,-54.3232720207642,"west"
"9","ID04_2013 4","2013","ID04_2013","28013185","F",19166.37274,57471.2423403077,2013-09-24 14:05:06,2013-09-24 19:59:21,0.246006944444444,-14.3939393939394,-23,38.6837121212121,0.333495013497517,-40.27969,144.841064,2013-09-24 15:48:10,0.0715740740740741,0.17443287037037,4,5,2,2,107.358228042665,34109,NA,2009,"F",1995,"chick",18,-40.3780953,144.6557384,55.3070093787011,"east"
"10","ID04_2013 5","2013","ID04_2013","28013185","F",55454.03627,368929.621140237,2013-09-24 20:32:30,2013-09-25 23:30:50,1.12384259259259,-23.188679245283,-47,107.964174826845,0.150310609645846,-40.085167,144.12796,2013-09-25 18:45:51,0.9259375,0.197905092592593,4,5,2,2,107.358228042665,34109,NA,2009,"F",1995,"chick",18,-40.3780953,144.6557384,-54.2602406152782,"west"
